0,534,432
200,484,476
401,452,462
602,405,430
802,364,387
1003,325,350
1204,280,305
1404,257,272
1605,212,241
1806,193,217
2007,183,211
2207,180,200
2408,200,204
2609,217,222
2809,248,248
3011,281,279
3212,318,313
3412,351,345
3613,367,364
3814,396,391
4015,404,403
4215,419,416
4416,452,448
4617,440,443
4817,445,447
5018,435,440
5219,426,428
5420,399,418
5620,376,393
5821,359,376
6023,324,345
6223,298,321
6424,251,281
6625,223,250
6825,219,249
7026,192,223
7227,184,207
7428,176,197
7628,174,194
7829,186,198
8030,207,215
8230,258,258
8431,268,270
8632,316,304
8833,328,327
9034,339,340
9235,359,365
9436,377,378
9636,397,396
9837,408,409
10038,433,425
10238,448,445
10439,443,448
10640,424,434
10841,383,400
11041,358,375
11243,322,343
11444,312,331
11644,272,298
11845,243,267
12046,223,247
12247,197,225
12447,183,217
12648,180,203
12849,189,206
13050,197,209
13251,215,224
13452,257,257
13652,285,283
13853,312,311
14054,333,333
14255,372,367
14455,379,378
14656,406,402
14858,416,417
15058,426,419
15259,417,421
15460,409,418
15661,403,413
15861,370,386
16062,358,373
16263,327,346
16463,825,738
16665,1022,896
16866,1023,954
17067,1022,976
17267,1023,984
17468,1023,989
17669,1023,991
17869,801,830
18071,754,761
18272,741,732
18472,714,702
18673,713,699
18874,700,690
19075,692,682
19275,682,674
19476,663,658
19677,672,664
19878,642,643
20079,635,633
20280,1023,880
20481,1023,950
20681,1023,976
20882,1023,986
21083,1023,990
21284,1023,990
21485,1023,991
21686,1023,991
21886,1023,991
22087,1023,991
22288,1023,992
22490,1023,993
22690,800,831
22891,759,775
23092,727,724
23292,691,682
23493,683,673
23694,681,670
23895,670,661
24095,674,664
24297,661,652
24498,667,660
24698,637,646
24899,629,631
25100,601,606
25300,558,569
25501,529,540
25702,480,496
25903,444,461
26104,385,410
26305,339,364
26506,289,316
26706,251,278
26907,216,240
27108,203,224
27309,205,220
27509,205,216
27710,238,241
27912,263,263
28112,300,296
28313,338,332
28514,365,361
28715,399,391
28915,409,406
29116,432,429
29317,448,443
29517,456,457
29719,444,449
29920,449,446
30120,419,438
30321,398,413
30522,381,396
30723,342,363
30923,317,339
31124,266,295
31325,238,256
31526,199,226
31727,168,200
31928,152,179
32129,149,172
32329,147,177
32530,174,186
32731,216,210
32931,246,245
33132,287,282